Id,Emotion,Sentence
6182,Anger,dume đọc bình luận bực giùm chủ thớt :)))
6183,Sadness,gắp đúng lúc nhưng hình như đúng lúc người ta không muốn y ai ???? đó là 1 câu chuyện buồn
6184,Fear,t thề với mày là tối thấy cái này chắc đái con mẹ nó ra quần
6185,Other,đợi em đủ tuổi anh chờ được không ?
6186,Disgust,đừng cứ đổ thừa cho ngành đường sất khi có quá nhiều anh não bé .
6187,Enjoyment,chúng ta nên làm như vậy từ lâu mới phải
6188,Anger,đéo hiểu sao có đứa nghĩ là cứ chơi với nhiều trai là bị sờ soạn kiến thức hạn hẹp vãi cậu ạ
6189,Enjoyment,per muốn coi cái khúc vẩy xong rồi dừng lại làm sao ấy . kkkkk
6190,Sadness,mua con lợn 50k được lì xì 40k . ok em ổn
6191,Disgust,"mấy bạn nào có ý định tổ chức sn nv thì tém tém lại síu đi , nếu thích tổ chức sn kiểu nv ở đâu cũng vậy khi ra về làm ơn bo cho nv dọn phòng đó 200 300k gì đó cho có tình người síu nha 😂"
6192,Fear,per coi phim này chắc chết luôn trong rạp
6193,Disgust,"nó quan tâm mày thì mày đừng vội mừng là nó thích mày , nó chơi chán rồi nó bỏ thôi ."
6194,Enjoyment,dân chơi nhìn cái biết ngay 🤣🤣
6195,Disgust,phá làng phá xóm
6196,Sadness,t nhận ra mình đã sai
6197,Sadness,30s mặc niệm bắt đầu ...
6198,Surprise,mặc váy kìa . thời trang ? hiện đại quá
6199,Sadness,con thương ông quá
6200,Sadness,nhìn mặt con chó tội vãi
6201,Disgust,tu mà không dám cao đầu mà sau gọi là tu còn dám súc phạm vong linh người khác bà này là súc vật
6202,Enjoyment,biết ngay anh per lại mượn đầm của vợ :))))
6203,Surprise,đắt hơn sân bay luôn
6204,Disgust,cmm lộ hết thông tin của người ta
6205,Fear,đã nguy hiểm vậy sao không hủy mà bán 0 . 0
6206,Surprise,bán không thu thuế luôn à
6207,Sadness,t chỉ thấy tình yêu của tao nó tan vỡ thôi
6208,Enjoyment,per :)))) buồn cười vãi
6209,Anger,thế 1 đứa con trai bỏ thời gian ra nói chuyện thân thiết với 1 đứa con gái không phải là nó thích con đó thì có con cặc nó làm vậy
6210,Sadness,chưa khi mô biết cảm giác đi nhởi trung thu với người yêu như răng
6211,Enjoyment,móng này móc cua thì đỉnh 😹
6212,Enjoyment,có mưa cảm giác như được sống lại :)))
6213,Disgust,mà nó đéo ' quan tâm thì càng đừng nghĩ nó thích mình nha :vậy
6214,Other,vợ dùng phá quá nên boss mới thế 🤧🤧🤧
6215,Enjoyment,haha biết ngây mà
6216,Sadness,bể mẹ cái kính cường lực mới dán :#
6217,Other,dù đúng hay sai cũng đừng bao giờ cãi nhau với con gáo đến cuối cùng mày vẫn sai .
6218,Enjoyment,"cần gì xa hoa đâu , thế này là hạnh phúc , thấy thương và ngưỡng mộ ông bà quá"
6219,Surprise,sao nhanh như chớp vậy được
6220,Anger,nhỏ không dạy để lớn lên làm đĩ à ? phụ huynh kiểu gì thế ?
6221,Other,thằng kia làm nhẹ nhẹ thôi nhé .
6222,Disgust,no ́ xâ ́ u tao thi ̀...
6223,Other,thế là đã phần nào đoán được kết quả cuộc gặp tại hà nội
6224,Sadness,bạn đã hiểu nổi khổ của mario khi mua vui cho bạn chưa :))
6225,Disgust,cái đất nước này loạn luân mẹ hết rồi :)))
6226,Enjoyment,"ôi zồi ôi , nhìn cái mặt của ẻm kìa , yêu ghê :))"
6227,Other,phố mày co ́ đô ̀ người nghiê ̣ p tô ́ tao ghê :)))
6228,Other,per haha bữa 3 đứa mới phong trào xong
6229,Other,mốc từ trong trứng
6230,Anger,"truy tố ra tòa chứ phạt hành chính gì ??? lừa đảo có tổ chức số tiền trăm tỷ , thêm tội truyền bá mê tín dị đoan ... 👎👎👎"
6231,Sadness,xem tới đây dume ứa nước mắt 😞
6232,Anger,toàn “ nam thanh nữ tú ” mở mồm ra nói hay như sách giáo khoa . hành động thì như con c ..
6233,Enjoyment,thân là người yêu mình mong cậu có thể giống được như đôi mặc áo nâu ❤️
6234,Sadness,😑 sao cái kết gì mà buồn vậy
6235,Other,cô ơi nhiệt tình là tốt nhưng bản thân phải an toàn trước 😗
6236,Sadness,"nói mưa là mưa v chời , tôi còn đi chơi đi học nữa mừ ."
6237,Other,"1 vị đắng của mưu sinh , 1 vị ngọt của hạnh phúc gia đình"
6238,Enjoyment,per xinh nhỉ :)) ngày xưa cũng xem phim này mà không để ý có cả bả
6239,Disgust,"bởi đây là lý do tao không muốn xem điện thoại người yêu , nếu không nó xanh cỏ lâu rồi 😑"
6240,Enjoyment,còn gì hạnh phúc hơn trong cuộc sống này ♥️
6241,Anger,ai cũng từng bị bố mẹ chửi mắng . em ấy cũng vậy . là người lớn chúng ta lắng nghe và chia sẻ . nhiều người già rồi mà phát ngôn xấc xược láo toét mất dạy không thể chấp nhận được . chả bằng được cái đứa con nít còn tỏ vẻ ta đây
6242,Disgust,thớt làm chị mà ích kỉ vãi ...
6243,Disgust,mấy thanh niên ngu học theo ngôn tình thấy chai bé không viết hết được lại mua chai 1 . 8 lít thì hơi mệt đấy 😂😂😊
6244,Enjoyment,tuổi thơ của tôi =))
6245,Other,việt nam cái gì cũng có thể ăn được
6246,Disgust,per đang ăn mà sao cứ chỉa trym vô hoài z khắm s ăn 🙂
6247,Sadness,khóc muốn rơi cả mắt
6248,Enjoyment,kích thích vãi
6249,Fear,ám ảnh thật sự
6250,Sadness,per huhu em không biết phải đi xem phim với ai nữa 😭
6251,Sadness,per gần nhà c ơi . hic hic
6252,Other,"tại cái gậy thôi , còn đâu là vẫn đẹp"
6253,Anger,"cái thằng adim này mày xàm quá oy đấy , biến khỏi trang tao nhé"
6254,Anger,đã sợ nhện rồi mà gặp thằng admin chơi trò mất nết :((
6255,Sadness,nhờ cái bếp như này . mà hồi nhỏ tao suýt đốt cả nhà và bị chửi đó :((
6256,Disgust,"hốt về cháu có bón được cơm , mớm được sữa cho nó mỗi ngày không ?? nó chơi game cháu có rửa chân bón cơm để nó chơi nốt ván không ???? mai cô ship tận giường nuôn"
6257,Sadness,đọc tin nhắn đầu thấy cay cay ngay mũi
6258,Enjoyment,per người yêu công sở nè 😂😂
6259,Enjoyment,vậy là hên rồi
6260,Other,per chiều anh bắn chưởng để em quay nhé
6261,Enjoyment,per nghe chưa nhân viên mới ... kk
6262,Other,ngáo nó có cắn đâu ??????
6263,Disgust,dị ứng với kiểu nhắn tin riêng tư mà cả thế giới đều biết
6264,Enjoyment,cười ỉa 😂😂 thây nó thét mà tao nghĩ dọn xong nó đi luôn cái cổ họng
6265,Disgust,"em rất duyên , và có khiếu hài hước , nhìn mặt em thôi là chị đã muốn cười , ba mẹ chửi mà vẫn vui tươi như vậy thì đáng khích lệ mà , sao nhiều người bình luận nặng lời thế không biết , chỉ là vui thôi mà"
6266,Disgust,"má nó , mặc dù không có ý kì thị nhưng dume cảnh 2 thằng hôn nhau buông nôn vãi"
6267,Enjoyment,per lên lịch hẹn hò nhanh
6268,Disgust,không biết chuyện gia đình người ta nhưng nhình mặt bà cũng thảo là thấy không có cảm tình ngay từ đầu .... mà nhờ bài viết này mới biết king coffee là của bả ... phải công nhận là nó uống dở thiệt .....
6269,Disgust,nóng thế này cái thứ mày cho cũng không ăn
6270,Sadness,tiếc quá ! nguyên nhân
6271,Enjoyment,ấm lòng vãi huhu
6272,Anger,thế không tính vậy thì muốn cái bệnh viện thành mẹ cái bãi giữ xe à :))
6273,Enjoyment,ngầu vãi lìn luôn á :)))
6274,Enjoyment,giờ tao mới hiểu được hết những gì mà trước đây đọc bình luận tao đéo ’ hiểu 😂😂😂
6275,Enjoyment,"lớp 2 xí mót được cái chong chóng , bán lại cho thằng hàng xóm 500d ."
6276,Sadness,tôi khóc lun ... huhu
6277,Enjoyment,má như người yêu ??
6278,Other,t chưa được rơi vào hoàn cảnh này nên cũng không biết nữa
6279,Enjoyment,thề chứ .. phim nay xem đi xem lại không thấy chán ... vẫn như mớinxem vậy
6280,Sadness,không biết vì sao họ vẫn cười nhưng mình thì khóc ...
6281,Other,cho đi luôn bớt lo
6282,Surprise,đoạn phim thôi mà ý nghĩa thế
6283,Disgust,"lông xấu , không mượt bằng con ngu kia được"
6284,Other,"cái này gọi là truyền thống , không thể nói là quên được"
6285,Other,"đấy ... y đâu cần phải to tác , phải gào lên cho cả thế giới biết ."
6286,Enjoyment,per haha sao tôi nghĩ tới em liền luôn á
6287,Other,chưa chia tay nữa mà còn khó đây
6288,Disgust,thế đéo nào nó lại kẻ dưới đấy nhỉ
6289,Disgust,oai đéo gì cái trêu gái :)
6290,Other,mình nghĩ bà thảo chiếm được công tình yêu là sẽ bán ngay cổ phần cho đại gia bên thái lan nào đó .. mong là chuyện này không bao giờ xảy ra
6291,Other,lâu lâu lại mong mất điện để nấu cơm rác . nk mát 1 tí . chứ cứ 42 độ có mà khỏi ăn
6292,Sadness,tội nghiệp thằng bé :)))) chúng mày bốc đâu mấy cái thẻ hay thế ??? :v
6293,Other,áp dụng với đứa yêu mày thôi nha
6294,Enjoyment,chời má . ngọt chết tao rồi :))))))
6295,Fear,"per đó là lý do tại sao em luôn nói với anh , có gì cũng phải nói ra"
6296,Anger,"phải em thì dume nó chửi thé thì đéo cần nói nhiều nữa . gọi c . an xuống kéo mẹ nó xe đi , kiểu gì cũng mệt thôi bác ."
6297,Sadness,xài vietcombank sinh nhật cũng không được chúc luôn :((
6298,Enjoyment,hôm đấy bổn cung về quê báo hiếu cha mẹ .
6299,Enjoyment,chỉ có được cái chữ đẹp . hihihi ...
6300,Enjoyment,trời má cute vãi lozzzz
6301,Sadness,là do bản thân tao ngu thôi
6302,Anger,cho chúng vào nhà đá ! quá độc ác không giết người bằng súng như thế này là giết hàng loat đấy thât khốn nạn
6303,Enjoyment,không biết nói sao ... nghiện chuẩn mẹ rồi ... crush ợ . mà nó nhẫn tâm lắm hồi trước còn hay call video . từ hôm tao cạo trọc y như là mất tích luôn . chắc phải để tóc mọc lại tao mới dám gọi . 🤭
6304,Other,nhân quả đến sớm lắm . đăng lên làm gì :)))
6305,Sadness,nhìn cái bà này tôi chỉ muốn xoạc bà 1 cái . sao bà không là con trai nhỉ . ông trời quá là trêu người rồi
6306,Enjoyment,cho dù em có dành được bao nhiêu học bổng đi chăng nữa nhưng mãi mãi em sẽ không thể có được tôi 😅
6307,Enjoyment,đã xem 2 lần bộ phim này 😁
6308,Sadness,"ôi vãi , mày thật bất hạnh vì có lũ bạn như thế"
6309,Disgust,"đây là tây chứ mấy thằng việt nam như này , đảm bảo kêu ngáo đá :vậy"
6310,Enjoyment,xin lỗi đây mình vẫn nấu nhé
6311,Disgust,bỏ quên não đó chứ đâu phải rác 😂
6312,Enjoyment,"phim này quá hay . xem đi xem lại mãi không chán . đặt tay lên ngực "" mọi chuyện đều ổn "" câu nói kinh điển"
6313,Fear,"thôi xong , biết thế tém tém lại ."
6314,Anger,"gym thì liên quan cặc gì đến bede , tuy gym nhưng người ta còn siêng tập nặng hơn mấy tụi bây nhé"
6315,Enjoyment,mình bình luận chủ yếu muốn khoe mình là fan cứng thôi :)) các bạn không cần để ý
6316,Anger,bất cái con cặc . 21 cái trung thu tao vẫn 1 mình . tao có thấy bất hạnh đâu . khẩu nghiệp
6317,Sadness,số tao không được ăn uống mà :((
6318,Other,rửa bát cũng được nấu cơm cũng được giặt quần áo cũng được miễn là có ba mẹ vợ con là được . làm gì cũng được
6319,Disgust,dume cho vào bảo tàng làm lồn gì -.- nhà khoa hc đã nghiên cứu sừng tê giác như móng tay của bạn thế sao không đem về mà chữa bênh đụ má rảnh ghê :((
6320,Enjoyment,cô quét đi cô cho cháu hốt về với =)))
6321,Disgust,"tránh xa nó ra , nó ngáo đó , 8h sáng mà nó đòi đi ngủ là hiểu rồi"
6322,Other,hỏi nhiều nó lại cho vào đối tượng truy nã 😏
6323,Anger,per nhớ lại vẫn còn tức á cái lol mẹ
6324,Other,lo tương lai bị bỏ rơi của chú đi :vậy
6325,Enjoyment,và sếp tốt có thể giúp ta vui vẻ từ sáng thứ hai cho đến tối chủ nhật 😀
6326,Enjoyment,lại tạo điều kiện cho mấy chị fa vào thả thính . :))
6327,Anger,muốn nhai luôn cả trái đất
6328,Enjoyment,"per lại nhớ chiều nay , buồn cười sấp mặt luôn . :v dù mệt nhưng ngày nào tan làm cũng muốn được đèo đưa đi ăn kem , ăn đồ chua , ăn miến trộn như hôm nay cerrrr :v"
6329,Fear,không ngờ tin nhắn riêng tư cũng phải kiêng nể nhắn tin để lỡ có bị chụp vẫn thấy chả sao
6330,Enjoyment,tao cũng ước mình có 1 tình yêu như ông bà ❤
6331,Sadness,đau đớn quá sao phải tham mấy đồng tiền đó nhỉ
6332,Disgust,quả này lại là nhà dột từ nóc rồi ;((
6333,Sadness,"mong là chuyện không có thật , chứ có thật thì đau lòng vãi ra 😪😪"
6334,Fear,per nguy hiểm luôn rình rập xung quanh chúng ta :((
6335,Enjoyment,trắc đấy là nyc của nó 🤣
6336,Other,đừng hỏi tại sao giới tính cứ bị bẻ cong
6337,Sadness,khóc hết nước mắt 😞😞
6338,Disgust,đúng là chó cậy chủ mà 🤣
6339,Disgust,chấp nhận đi mày .. chửi gì dữ vậy ..! mỗi người mổ việc mà ... nếu không thích thì kiếm việc khác mà làm ..
6340,Sadness,":))) ở đoạn đó hồi năm nhất tao "" được "" họ lấy 100k , vì sáng sớm đem duy nhất 100k trong túi , thế là nộp luôn :))))"
6341,Other,per đọc nhầm con nhện thành con gián :)) thật khó hiểu
6342,Other,may mà bà già bảo năm hạn đừng đi chứ không hạn thật
6343,Disgust,cái giống mắc zại nhất từng thấy :))
6344,Anger,bắn cái lũ khốn nặn kia ra . mấy ông bà lại ăn cho lắm tiền vào . để cả 1 thế hệ trẻ em bệnh tật . làm cho ra lẽ đi . bọn này bắn cmm nó đi . quá là ác
6345,Disgust,đéo có não à
6346,Disgust,"không biết bác dạy ra sao mà đến nỗi . còn tao dạy nhận tiền mặt , dạy 10 ngày là phụ huynh trả luôn tiền tháng đó chứ không có nhập nhằng gì hết"
6347,Other,"thực ra bị bóc trên mạng thì thường là bẩn thỉu , không phân quê quán"
6348,Disgust,ôi không đọc được bài của chị thì em vẫn tin tưởng cái group đấy lắm
6349,Disgust,"tính ra là 1 cuộn keo 2 mặt sẽ giải quyết được moiij chuyện =)) , cơ mà ý thức như lồn thật :v"
6350,Disgust,"chỗ đó không có , họ thấy lạ , chứ như tao lần đầu thấy trên internet tao cũng lạ , chửi gì ghê thế"
6351,Sadness,khổ thân các cháu
6352,Disgust,"nước bẩn quá , toàn rác !"
6353,Sadness,chỉ những người độc thân thôi
6354,Enjoyment,nhìn cái muốn cong :d
6355,Disgust,"thanh niên bỏ nhà theo trai rồi bầu bắt sen chăm , thứ hoàng thượng dâm tà"
6356,Disgust,"t đợi cái post về loài hãm lòn này lâu lắm rồi nhá . dcm nhìn ngốc nghếch thế thôi mà dữ lắm luôn , có lần tao cúi xuống cầm gậy đuổi nó vào chuồng mà nhân lúc tao sơ hở rón rén đến suýt táp vào đít tao . lúc ấy sợ tụt lòn vì chỉ còn có 2 bước nữa thôi là nó đớp gọn tao rồi .... có hôm tao vừa ngờ nghệch ra vườn hóng mát thì cả đàn , cả đàn nhé . dí tao chạy quanh vườn , con nào con nấy vênh cổ lên chạy theo tao . nhờ nó mà suýt chút nữa tao chết vì đau tim ...."
6357,Enjoyment,ly hôn cũng phải hoành tráng chứ .. còn phải làm to hơn kết hôn mới được 🤣
6358,Disgust,mèo nhìn dễ thương mà ác vãi < 3
6359,Enjoyment,dễ thương vậy chời
6360,Anger,bạn gái trong ảnh lưu hình gửi cho công an xã chết con mẹ bọn nó đi :)))
6361,Disgust,các bạn buồn cười vãi cả đái . người ta đỗ ở đường chứ có phải trong nhà bạn đéo đâu mà nhặng lên .
6362,Disgust,ngu chưa . đăng lên để rồi bị chửi
6363,Enjoyment,nhìn con bé thấy cưng ghê chị ơi
6364,Disgust,per anh bạn tồi nhất quả đất này
6365,Disgust,cho ̣ c mù mắt tao đi 🤣🤣
6366,Enjoyment,đồng đội chơi tốt quá hahaaa
6367,Fear,kinh vãi
6368,Other,lợi ích của việc không nghe lời vợ ??
6369,Anger,cho về hết chứ cứ lương không mà không làm thêm gì mà có nhà lầu xe hơi thì lấy ở đâu ???????? không phải đùn đẩy .... cho về hết bọn nó mới hết không tìm ra nguyên nhân .... không có sao phụ huynh dám nói ....
6370,Enjoyment,"phải nói là hài tàu hay thật đấy , luôn li kì và khó đoán kết quả , ý nghĩa thì thâm sau . hihi thích rồi đó"
6371,Disgust,giờ lắm bọn biến thái thế
6372,Sadness,chị đầu tiên buồn v :((
6373,Sadness,trời ơi tao chóng mặt quá đi :((
6374,Disgust,"đúng kiểu tham lam mà tài năng thì có hạn , miệng thì bảo sợ ông vũ làm sạt nghiệp trung nguyên nhưng bản thân trước đó lại làm lỗ của công tình yêu 1700 tỉ , mụ đàn bà mặt dày"
6375,Disgust,có tay mà người bị cụt tay . ko bao giờ sử dụng bàn tay đó . ngu trở lên nổi tiếng .
6376,Anger,dume đồng nghiệp gặp hlin thì chỉ muốn nghỉ thôi
6377,Other,ko nghe lời vợ mới là mấu chốt :)
6378,Disgust,"nói bao giờ cũng dẽ hơn làm , mà mặt 2 đứa này nhìn như mất mẹ dây thần kinh gì đấy"
6379,Surprise,"sản phẩm tốt đấy , có tính ứng dụng cao"
6380,Disgust,nếu đồng nghiệp của bạn hãm vãi thì cũng nên đăng xuất đi hiền hana
6381,Fear,"tao cưới rồi , cưới nữa cho vợ tao chém tao chết à"
6382,Enjoyment,"tuyệt vời , chỉ cần họ thấy vui và hạnh phúc"
6383,Disgust,ngu quá là ngu đậu xe gì mà sát đường ray tàu hoả thế chứ .? quả này người ta còn phạt thêm cho nữa chứ đâu phải lát xe mà xong đâu ..?
6384,Enjoyment,cẩn thận mày lại có cháu sớm 🤣
6385,Enjoyment,yêu hay không yêu không yêu hay yêu nói 1 lời 😂
6386,Enjoyment,tao cũng hay sử dụng chiêu này và bọn đàn ông vẫn cứ bị lừa ????
6387,Enjoyment,"thật sự mình rất thích bạn này , xem phim mỗi tập cứ canh đúng cảnh có bạn ý , dễ thương quá 😗😚😚😚😚😚"
6388,Surprise,bọn ngáo này mà cũng có người sợ nó nữa hả
6389,Other,em đã bao giờ nghĩ đến mối quan hệ đồng tính ?
6390,Sadness,"từ khi lấy vợ , làm vlog thiếu muối hẳn huhu"
6391,Disgust,nhưng đứa bạn thân đều là lũ khốn
6392,Sadness,"vợ người ta chưa bao giờ làm tôi thất vọng , còn vợ tôi thì ..... đi hết 1 / 3 cuộc đời rồi vẫn chưa tìm thấy 😓"
6393,Disgust,hỏi nhây khiếp
6394,Sadness,có tiền sẽ thấy các vị gọi là thượng hạng còn không tiền sẽ chỉ thấy vị mặn của mồ hôi + nước mắt
6395,Other,nước biển sao đục quá nhỉ
6396,Enjoyment,"người đàn ông ốm đau nói với vợ mình :” ở lại với anh ” rồi cầm tay bà . đó là tình yêu , vỏn vẹn 20 năm ngắn ngủi . tình yêu bố dành cho mẹ"
6397,Anger,con ngu dù bố mẹ có là người như thế nào đi chăng nữa thì cũng là người đẻ ra mày nuôi chúng mày lớn khôn lớn lên không báo hiếu được gì lại còn sủa bậy
6398,Enjoyment,hy vọng mọi điều tốt đẹp sẽ tới
6399,Sadness,t cũng buồn lắm chớ bộ 😓😓
6400,Sadness,t đã thử rồi mà dume vẫn la :))))
6401,Disgust,ý thức tồi
6402,Anger,"má , sờ mông có cái mà táng bố ..??"
6403,Fear,trò này cũng nguy hiểm chết người đừng đùa theo mà mang họa
6404,Enjoyment,nhìn cái mặt cưng vãi
6405,Other,sáng kiến hay đỡ bao nhiều tiền để tiêu hủy
6406,Disgust,đéo có lol gì là buồn cười
6407,Other,"per tiền bạc là phù du , quan trọng là tình nghĩa"
6408,Other,k tiền cạp đất mà ăn ah @@
6409,Disgust,thứ thiếu ý thức ... nhưng lên mạng thì dạy người khác
6410,Disgust,có mà thần kinh hơn ấy 😑😑😑
6411,Disgust,đéo hiểu chó hay người .
6412,Disgust,đau chán riết quen có cái lol gì phải than vãn :))
6413,Enjoyment,một bộ phim rất đáng xem !!
6414,Disgust,"đâu phải có tiền muốn làm cha ai thì làm , gì cũng vừa phải thôi . ý thức từ nhỏ không được dạy dỗ cẩn thận"
6415,Fear,mấy lần đi ngang hết hồn
6416,Sadness,"anh giờ thích ai rồi , không còn giữ câu nói trước kia nữa đâu nhỉ . ừ gần 1 năm rồi cơ mà :(("
6417,Other,công nhận già thật
6418,Disgust,"hà nội làm con người ta trở nên nhỏ nhen và bon chen , luật thi áp dụng như cứt nó chỉ giành cho người có tiền và có quyền"
6419,Disgust,chán vãi dạo này ngủ sớm quen :)))
6420,Fear,"hồi nhỏ hay bị ngỗng rượt , vừa chạy vừa khóc la 🤣🤣"
6421,Sadness,lại mưa 😞
6422,Disgust,bố mấy con trẻ trâu :)) tưởng thế là hay :))))
6423,Sadness,chả có tiền mua 😩😩😩
6424,Fear,đề nghị admin xóa bài đi ạ . chứ bố mẹ em sắp đi chợ về rồi ạ :(((
6425,Other,sao mày không ngủ chung với cả mẹ mày và em mày ?
6426,Enjoyment,haha con mấy cái video toàn đóng vào mỏ nhau không . cười tụt quần 🤣
6427,Surprise,thế đéo nào lại ra được nhỉ ??
6428,Other,vẫn là chính sách trên giấy tờ
6429,Other,sớm muộn củng chết đuối à ;)))
6430,Enjoyment,bức ảnh xuất sắc ❤️
6431,Sadness,việc đớn đau nhất . là nhường người mình yêuu nhất cho 1 người khác 😔😔😔. chỉ vì đơn giản không muốn ai phải đau buồn
6432,Sadness,ủa mắc gì gỡ fan cứng của em ? huhu
6433,Sadness,"ai cho mình xin tên phim với , mình không xem được 😢"
6434,Surprise,tao đang đọc cái lol gì đây :)) sao lại thành truyện giáo dục rồi dume
6435,Enjoyment,mặt ô kia khát nước nhìn buồn cườ thế 😂😂
6436,Sadness,tao bị bỏ rơi rồi
6437,Fear,tao nhìn tao thấy ghê vcd ấy 😂😂
6438,Other,cậu nhỏ có tăng lên không 🧐
6439,Disgust,"bạn trai tao cắt tóc xong cái đầu như cái đầu buồi , không lệch vào đâu được 🙂"
6440,Enjoyment,bây giờ gọi hành hiếmkkk
6441,Sadness,chúng mày đã bao giờ bị hất cả cốc nước vào mặt vì mặt không bao giờ tươi cười niềm nở chưa ?
6442,Surprise,người yêu mày cắt tóc hay là đi đầu thai lại thế ???
6443,Sadness,sự thật thì cố suy nghĩ vui vẻ hạnh phúc mà trong túi không có tiền chỉ sợ đất cũng không có mà ăn
6444,Fear,tao tháy gái nguy hiểm vãi
6445,Other,"chạy tới đưa đồ cho nó , trượt chân té sấp mặt luôn"
6446,Enjoyment,hẳn là con số đẹp 😍😍😍
6447,Enjoyment,còn 1 tháng nữa thôi khép lại những ngày tháng vui buồn nhưng luôn có người bên cạnh sẻ chia không lo lắng của tuổi thanh xuân cái tuổi đẹp nhất của cng
6448,Fear,tao còn không dám ăn nói chi ruồi .
6449,Fear,sợ vãi linh hồn
6450,Fear,có thì tốt nhất đừng có giận vì ngoài kia bất cứ thằng nào cũng sẵn sàng dỗ dành bạn gái của bạn 😋
6451,Other,bốc phốt khách thế không sợ mất khách à bác ??
6452,Sadness,ừ mỗi lần thế lần buồn kinh lắm mày ạ
6453,Enjoyment,lâu lắc chưa xem lại !!! 😳. một bộ phim vừa ý nghĩa vừa hài hước ! 👍
6454,Enjoyment,"gắng , nhanh khỏi bệnh rồi về bên anh"
6455,Other,đề này đối với lực học lớp 9 đâu có khó . cẩn thận chút là được
6456,Sadness,nghe bài này đau lòng quá mà
6457,Fear,má . đang định đi chụp :((
6458,Other,ai muốn tránh đường đông hỏi người dân đường trong núi nhé !
6459,Enjoyment,"những hành động đẹp , đáng được trân trọng , và sẽ được lan tỏa ở mọi nơi , thật tuyệt vời 😍"
6460,Enjoyment,vào siêu thi mua ghế masage chạy điện ra mà ngồi cho chúng nó choáng ! vừa đỡ mỏi chân lại khỏe người !
6461,Fear,"tao nói té 1 cái không dập mề thua gì cũg thua , trĩ nội trĩ ngọai nguyên chùm =)))"
6462,Other,năm sau nữa quyết định nằm cho đỡ đau lưng 😁😁
6463,Enjoyment,bé xinh quá
6464,Other,bài hát đầu tiên của phim là gì nhỉ quên mất rồi . bạn nào thông não cho mình phát
6465,Disgust,đây là trẻ ghé chứ gì nữa ~~~
6466,Sadness,"t chẳng muốn phải nói "" suýt nữa thì .."" một lần nào nữa trong đời của nhau nữa đâu ... vì vậy sẽ trân trọng khi người tới ."
6467,Enjoyment,per cái đoạn vén tóc là quen lắm nhá . thích lém ý
6468,Enjoyment,"thề , phim này xem đi xem lại gần chục lần . 😄"
6469,Enjoyment,phim chuẩn chưa này =))))
6470,Other,"per thì mấy ông nhậu bắt sạch , còn đâu mà phá hoại"
6471,Other,ô .. còn lâu lắm ...
6472,Other,đã năm 2000 . người ta cho mượn 200 tr rồi .. từ đó về sau nhà người ta có cần 25 tr / tháng hay không ???
6473,Enjoyment,"tao cũng như mày đây . không sao cả , hãy tự hào vì tên mày vẫn rất đẹp"
6474,Other,cho nó đỗ tí mất gì đâu
6475,Disgust,người ta nói ngu thì chết có gì sai ?
6476,Enjoyment,dễ thương vậy
6477,Other,chắc chưa :))) si nghĩ kĩ lại đi
6478,Disgust,má con đĩ mèo nó đanh đá thế
6479,Sadness,"từ nay sẽ không cap màn hình ib nưa , thật tội lỗi tội lỗi"
6480,Enjoyment,t chỉ muốn khoe là tao vẫn được nghỉ 1 tuần nữa =)))))
6481,Other,biết chứ dã từng sài
6482,Enjoyment,ấn tượng vãi :v bàn tay vàng trong làng vẩy khế :v
6483,Enjoyment,thích quá mấy má ơi ! @@@
6484,Disgust,không ngon như lần trước nữa
6485,Other,mặt thái độ vãi
6486,Sadness,cũng muốn kết hôn lắm mà đến giờ vẫn chưa có người yêu 😭
6487,Enjoyment,sẽ hấp dẫn hơn khi dưới sông có cá sấu :)) lót dép hóng
6488,Enjoyment,xem nà ra chiêu nà gẫy cây nà sấp mặt luôn nà 😂😆
6489,Fear,"per nhà giáo áp lực quá nhỉ , giống làm dâu trăm họ ."
6490,Anger,"bọn giết người không dao tử hình cái thằng cung cấp thực phẩm bẩn vào trường , những đứa liên quan còn lại cho vào tù hết ."
6491,Enjoyment,tao thấy đéo có cái gì để tao cầm được cơn cười cđcm nó ! :))
6492,Enjoyment,gần 10 năm rồi coi đi coi lại cũng gần 30 lần . nhớ !!!
6493,Enjoyment,phụ nữ ngày xưa toàn cực phẩm :v
6494,Anger,xoá sổ toàn phần cơ sở cung cấp thức ăn khốn nạn này bằng cách cho chúng mỗi đứa một mũi tiêm thuốc độc . còn hiệu trưởng các trường bỏ tù vĩnh viễn .
6495,Anger,tử hình cái bọn giết người hàng loạt này đi
6496,Fear,pháp luật là bạn của nó rồi anh ah vì quen anh anh chị b trên quận ah nên em cũng sợ lắm ah :-(
6497,Disgust,"biết có người binh mà mới chửi lại đó , con hư tại mẹ thui"
6498,Sadness,chị khổ mấy cô giáo viên giám đứng ra tố cáo . sau này bị làm khó hoặc trả thù
6499,Other,trời trời ! như là nói lên nỗi lòng của thẩm phán vậy :))))
6500,Fear,má tao xem mà lo thằng quay phim tét không à ? có ai như tao không ?
6501,Other,đm rơi mẹ điện thoại xuống đất 🙃
6502,Enjoyment,mới gọi điện thoại xong mới cười với tuii xong heheh anh đáng yêu vãi
6503,Disgust,bướng vừa vừa kiểu đáng yêu chứ mà lồng lộn thì thôi làm bà nội chứ yêu đương đéo gì
6504,Surprise,vâng với 1 pha chống gậy tinh tế anh đã làm cho người xem 1 sự bất ngờ
